feature,mean_abs_shap
card1_target_enc,0.0
V201,0.0
V200,0.0
V189,0.0
C4,0.0
C8,0.0
V188,0.0
C10,0.0
id_17,0.0
C12,0.0
C7,0.0
V171,0.0
V259,0.0
V170,0.0
V245,0.0
card3,0.0
card1_fraud_count,0.0
M4,0.0
V222,0.0
R_emaildomain,0.0
