model,auc,ks,brier,logloss
random_forest,0.8575886267788065,0.5515340190566039,0.06539310281067094,0.26954422541987433
xgboost,0.8388843127562727,0.5294882214269006,0.029545385390520096,0.1278010606765747
catboost,0.829588090283637,0.5121590641075955,0.03849243987412058,0.15973218451338145
lightgbm,0.8250999586135008,0.5158471695687561,0.037426251280329476,0.15127132146435282
lr,0.7939950830036039,0.4848038086280831,0.031192671911911968,0.14276036871278727
