feature,importance
V105_clip_high,2
V329,2
addr1_clip_high,2
C4_clip_high,2
V22_clip_high,1
V21,1
V38_clip_high,1
V34_clip_high,1
V256,1
V219_isna,1
V150_clip_high,1
V148,1
V195,1
V169_isna,1
V330,1
V162_clip_high,1
V70_clip_high,1
V234_clip_high,1
V234_isna,1
V173_clip_high,1
V76_isna,1
V5_clip_high,1
V158_clip_high,1
V235,1
V239,1
V73_clip_high,1
V97_clip_high,1
V249,1
V120_clip_high,1
V104,1
V253,1
V253_clip_high,1
V254,1
V254_clip_high,1
V96_clip_high,1
V104_clip_high,1
V302,1
V132_clip_high,1
V261_clip_high,1
V175_clip_high,1
V96_isna,1
V187_clip_high,1
V281_isna,1
V279_clip_high,1
V135_clip_high,1
V9_clip_high,1
D4_clip_high,1
D3_clip_high,1
V16_clip_high,1
D1_clip_high,1
V141_clip_high,1
V49_clip_high,1
V56_isna,1
V287_clip_high,1
V164_clip_high,1
V123_clip_high,1
V293_clip_high,1
V106_clip_high,1
V61_clip_high,1
V173,1
C11_clip_high,1
V38_isna,1
V57_clip_high,1
C11_clip_low,1
V163,1
V63_clip_high,1
V306_clip_high,1
V304_clip_high,1
V193,1
V310_clip_high,1
V112_clip_high,1
V308_clip_high,1
V307_clip_high,1
V38_clip_low,1
V37_clip_low,1
V318_clip_high,1
V37_isna,1
C7_clip_high,1
V188_clip_high,1
V7_clip_high,1
V127_clip_high,1
V212_clip_high,1
V2_isna,1
dist1_clip_high,1
V216_clip_high,1
V326_isna,1
V186,1
V24_clip_high,1
V93_clip_high,1
V221_isna,1
V327,1
V23_clip_low,1
V20_clip_high,1
V71_clip_low,0
V71_isna,0
V70_clip_low,0
V70_isna,0
V69_clip_high,0
V69_clip_low,0
V76_clip_low,0
V75_clip_low,0
V75_isna,0
V74_clip_low,0
V74_isna,0
V73_clip_low,0
V81_isna,0
V80_clip_low,0
V80_isna,0
V79_clip_low,0
V79_isna,0
V78_clip_high,0
V78_isna,0
V77_clip_low,0
V85_isna,0
V84_clip_low,0
V84_isna,0
V83_clip_low,0
V83_isna,0
V82_clip_low,0
V82_isna,0
V10_isna,0
V9_clip_low,0
V9_isna,0
V8_clip_high,0
V8_clip_low,0
V8_isna,0
V15_clip_high,0
V15_clip_low,0
V14,0
V14_clip_high,0
V81_clip_low,0
V89_isna,0
V88,0
V88_clip_high,0
V88_clip_low,0
V88_isna,0
V87_clip_low,0
V87_isna,0
V86_clip_low,0
V86_isna,0
V85_clip_low,0
V93_isna,0
V92_clip_low,0
V92_isna,0
V91_clip_low,0
V91_isna,0
V90_clip_high,0
V90_clip_low,0
V90_isna,0
V89,0
V89_clip_high,0
V89_clip_low,0
V96_clip_low,0
V95_clip_high,0
V95_clip_low,0
V95_isna,0
V94_clip_high,0
V94_clip_low,0
V94_isna,0
V93_clip_low,0
V101_isna,0
V100_clip_high,0
V100_clip_low,0
V100_isna,0
V99_clip_low,0
V99_isna,0
V98,0
V98_clip_low,0
V98_isna,0
V97_clip_low,0
V105_isna,0
V104_clip_low,0
V104_isna,0
V103_clip_low,0
V103_isna,0
V102_clip_high,0
V102_clip_low,0
V102_isna,0
V101_clip_high,0
V101_clip_low,0
V109_isna,0
V108,0
V108_clip_low,0
V108_isna,0
V107,0
V107_clip_high,0
V107_clip_low,0
V107_isna,0
V106_clip_low,0
V106_isna,0
V105_clip_low,0
V113_isna,0
V112,0
V112_clip_low,0
V112_isna,0
V111,0
V111_clip_low,0
V111_isna,0
V110,0
V110_clip_high,0
V110_clip_low,0
V110_isna,0
C14_clip_low,0
V109_clip_high,0
V109_clip_low,0
V117_isna,0
V116_clip_low,0
V116_isna,0
V115_clip_high,0
V115_clip_low,0
V115_isna,0
V114,0
V114_clip_high,0
V114_clip_low,0
V114_isna,0
V113,0
V113_clip_high,0
V113_clip_low,0
V121_isna,0
V120,0
V120_clip_low,0
V120_isna,0
V119,0
V119_clip_high,0
V119_clip_low,0
V119_isna,0
V118,0
V118_clip_high,0
V118_clip_low,0
V118_isna,0
V117,0
V117_clip_high,0
V117_clip_low,0
V125_isna,0
V124_clip_low,0
V124_isna,0
V123_clip_low,0
V123_isna,0
V122,0
V122_clip_high,0
V122_clip_low,0
V122_isna,0
V121,0
V121_clip_high,0
V121_clip_low,0
V129_clip_low,0
V129_isna,0
V128_clip_high,0
V128_clip_low,0
V128_isna,0
V127_clip_low,0
V127_isna,0
V126_clip_high,0
V126_clip_low,0
V126_isna,0
V125_clip_low,0
V133_clip_low,0
V133_isna,0
V132_clip_low,0
V132_isna,0
V131_clip_high,0
V131_clip_low,0
V131_isna,0
V130_clip_high,0
V130_clip_low,0
V130_isna,0
V129_clip_high,0
V137_clip_low,0
V137_isna,0
V136_clip_high,0
V136_clip_low,0
V136_isna,0
V135_clip_low,0
V135_isna,0
V134_clip_high,0
V134_clip_low,0
V134_isna,0
V133_clip_high,0
V141_clip_low,0
V140_clip_high,0
V140_clip_low,0
V140_isna,0
V139_clip_low,0
V139_isna,0
V138,0
V138_clip_high,0
V138_clip_low,0
V138_isna,0
V137_clip_high,0
V145_clip_low,0
V145_isna,0
V144_clip_high,0
V144_clip_low,0
V144_isna,0
V143_clip_high,0
V143_clip_low,0
V143_isna,0
V142_clip_high,0
V6_clip_low,0
V6_isna,0
V5_clip_low,0
V5_isna,0
V4_clip_low,0
V4_isna,0
V11_clip_high,0
V11_clip_low,0
V11_isna,0
V10_clip_low,0
V142_clip_low,0
V142_isna,0
V141,0
V149_clip_low,0
V149_isna,0
V148_clip_high,0
V148_clip_low,0
V148_isna,0
V147_clip_high,0
V147_clip_low,0
V147_isna,0
V146_clip_high,0
V146_clip_low,0
V146_isna,0
V145_clip_high,0
V154_isna,0
V153_clip_high,0
V153_clip_low,0
V153_isna,0
V152_clip_high,0
V152_clip_low,0
V152_isna,0
V151_clip_low,0
V151_isna,0
V150_clip_low,0
V150_isna,0
V159_isna,0
V158_clip_low,0
V158_isna,0
V157_clip_high,0
V157_clip_low,0
V157_isna,0
V156_clip_low,0
V33_clip_high,0
V33_clip_low,0
V33_isna,0
V32_clip_high,0
V32_clip_low,0
V32_isna,0
C13_clip_low,0
C12_clip_low,0
C10_clip_high,0
V156_isna,0
V155_clip_high,0
V155_clip_low,0
V155_isna,0
V154_clip_high,0
V154_clip_low,0
V163_isna,0
V162_clip_low,0
V162_isna,0
V161_clip_high,0
V161_clip_low,0
V161_isna,0
V160_clip_high,0
V160_clip_low,0
V160_isna,0
V159_clip_high,0
V159_clip_low,0
V166_clip_high,0
V166_clip_low,0
V166_isna,0
V165_clip_high,0
V165_clip_low,0
