feature,importance
card1_TransactionAmt_mean,3766
card1+addr1_TransactionAmt_mean,3663
card1_dist2_mean,3168
P_emaildomain_dist1_mean,2362
card1+addr1_dist2_mean,2257
P_emaildomain_dist2_mean,2247
card1,1871
addr1,1815
addr1_target_enc,1804
card1_target_enc,1700
card2,1627
P_emaildomain_dist2_sum,1249
P_emaildomain_TransactionAmt_sum,959
card5,778
P_emaildomain_dist1_sum,741
P_emaildomain_TransactionAmt_count,706
P_emaildomain_dist2_count,155
card3,103
P_emaildomain_dist1_count,29
