model,auc,ks,brier,logloss
lightgbm,0.9007717843292697,0.6380567266895468,0.07076213747406665,0.24774242020982298
xgboost,0.9005122567436329,0.647682009112659,0.07459288090467453,0.2648988366127014
catboost,0.8908676679856539,0.6267348342827758,0.10579919033483018,0.3541783608970894
random_forest,0.8843805398910821,0.6217665384433747,0.10436156038616935,0.36144283571100655
lr,0.783710763693361,0.48303242435507004,0.08696055707681519,0.3136807965630694
