feature,importance
V58_clip_high,3
V52_clip_high,3
V220_clip_high,3
V104,3
V105_clip_high,3
V179,3
V329,3
V21,3
V54_clip_high,3
V270_clip_high,3
V173_clip_high,3
V322,3
V302_clip_high,3
V301_clip_high,3
V158_clip_high,3
D9_isna,3
V300_clip_high,3
V170_isna,3
V39_clip_high,2
V39,2
V16,2
V308_clip_high,2
V168,2
C8_clip_high,2
V111_clip_high,2
V327,2
V153,2
V157,2
V279,2
V100,2
V110_clip_high,2
V106,2
V79,2
C13_clip_high,2
C14_clip_high,2
V64_clip_high,2
V103,2
C10_clip_high,2
V44_clip_high,2
V174,2
D5_clip_high,2
V186,2
V23_clip_low,2
V47_clip_high,2
V82_clip_high,2
V95_isna,2
V142,2
V84,2
V175,2
V147,2
V70_clip_high,2
V30_clip_high,2
V176_clip_high,2
V98,2
V57,2
V9_clip_high,2
V314_clip_high,2
V180,2
V193,2
V36_clip_high,2
V76_isna,2
V136_clip_high,2
V221_isna,2
V132_clip_high,2
V234_clip_high,2
V129_clip_high,2
V242,2
V247,2
V249,2
V127_clip_high,2
V259_clip_high,2
V121_clip_high,2
V120_clip_high,2
V280_clip_high,2
V284,2
V285_clip_high,2
C2_clip_low,2
V189_clip_high,1
V190,1
V197,1
V256,1
C11_clip_high,1
V18,1
V162_clip_high,1
V43_clip_high,1
V141_clip_high,1
V206_clip_high,1
V212_clip_high,1
V252,1
V258_clip_high,1
V139_isna,1
V172_isna,1
addr2_clip_high,1
V165_clip_high,1
V266_clip_high,1
V269_clip_high,1
V55_isna,1
V177_clip_high,1
V219_isna,1
V187_clip_high,1
V85_clip_high,1
V283_isna,1
V134_clip_high,1
V37_isna,1
dist2_clip_high,1
V223_clip_high,1
V290_clip_high,1
V96_isna,1
V67_clip_high,1
V292_clip_high,1
V293_clip_high,1
D11_clip_high,1
V297_clip_high,1
V23_clip_high,1
V163_clip_high,1
V22,1
V302,1
V303_clip_high,1
V307_clip_high,1
V133_clip_high,1
V2_isna,1
C7_clip_high,1
V317_clip_high,1
V143_clip_high,1
V112_clip_high,1
V321_clip_high,1
V22_clip_high,1
V32,1
V325,1
V326_clip_high,1
V34_clip_high,1
V328,1
V80,1
V331_clip_high,1
V236,1
V8_clip_high,1
V44_clip_low,1
C9_clip_high,1
V186_clip_high,1
V60_clip_high,1
V247_clip_high,1
V103_clip_high,1
V15_clip_high,0
V16_isna,0
V16_clip_low,0
V16_clip_high,0
V17_isna,0
V17_clip_low,0
V17_clip_high,0
V18_isna,0
V18_clip_low,0
V18_clip_high,0
V19_isna,0
V19_clip_low,0
V19_clip_high,0
V20_isna,0
V20_clip_low,0
V20_clip_high,0
V21_isna,0
V21_clip_low,0
V21_clip_high,0
V22_isna,0
V22_clip_low,0
V23_isna,0
V24_isna,0
V24_clip_low,0
V24_clip_high,0
V25_isna,0
V25_clip_low,0
V26_isna,0
V26_clip_low,0
V26_clip_high,0
V27_isna,0
V27_clip_low,0
V27_clip_high,0
V27,0
V28_isna,0
V28_clip_low,0
V28_clip_high,0
V28,0
V29_isna,0
V29_clip_low,0
V30_isna,0
V30_clip_low,0
V31_isna,0
V31_clip_low,0
V31_clip_high,0
V32_isna,0
V32_clip_low,0
V32_clip_high,0
V33_isna,0
V33_clip_low,0
V33_clip_high,0
V34_isna,0
V34_clip_low,0
V35_clip_low,0
V36_isna,0
V36_clip_low,0
V37_clip_low,0
V38_isna,0
V38_clip_low,0
V39_isna,0
V39_clip_low,0
V40_isna,0
V40_clip_low,0
V41_isna,0
V41_clip_low,0
V41_clip_high,0
V41,0
V42_isna,0
V42_clip_low,0
V43_isna,0
V43_clip_low,0
V44_isna,0
V45_isna,0
V46_isna,0
V46_clip_high,0
V47_isna,0
V47_clip_low,0
V48_isna,0
V48_clip_low,0
V49_isna,0
V49_clip_low,0
V49_clip_high,0
V50_isna,0
V50_clip_low,0
V51_isna,0
V51_clip_low,0
V2_clip_low,0
V52_isna,0
V52_clip_low,0
V53_clip_low,0
V54_clip_low,0
V55_clip_low,0
V56_isna,0
V56_clip_low,0
V56_clip_high,0
V57_isna,0
V57_clip_low,0
V57_clip_high,0
V58_isna,0
V58_clip_low,0
V58,0
V59_isna,0
V59_clip_low,0
V60_isna,0
V60_clip_low,0
V61_isna,0
V61_clip_low,0
V62_isna,0
V62_clip_low,0
V63_isna,0
V63_clip_low,0
V64_isna,0
V64_clip_low,0
V65_isna,0
V65_clip_low,0
V65_clip_high,0
V65,0
V66_isna,0
V66_clip_low,0
V66_clip_high,0
V67_isna,0
V67_clip_low,0
V68_isna,0
V68_clip_low,0
V68_clip_high,0
V68,0
V69_isna,0
V69_clip_low,0
V69_clip_high,0
V70_isna,0
V70_clip_low,0
V71_isna,0
V71_clip_low,0
V71_clip_high,0
V72_isna,0
V72_clip_low,0
V72_clip_high,0
V73_isna,0
V73_clip_low,0
V73_clip_high,0
V74_isna,0
V74_clip_low,0
V75_clip_low,0
V76_clip_low,0
V77_isna,0
V77_clip_low,0
V78_isna,0
V78_clip_low,0
V79_isna,0
V79_clip_low,0
V80_isna,0
V80_clip_low,0
V81_isna,0
V81_clip_low,0
V82_isna,0
V82_clip_low,0
V83_isna,0
V83_clip_low,0
V84_isna,0
V84_clip_low,0
V85_isna,0
V85_clip_low,0
V86_isna,0
V86_clip_low,0
V87_isna,0
V87_clip_low,0
V88_isna,0
V88_clip_low,0
V88_clip_high,0
V88,0
V89_isna,0
V89_clip_low,0
V89_clip_high,0
V89,0
V90_isna,0
V90_clip_low,0
V90_clip_high,0
V91_isna,0
V91_clip_low,0
V91_clip_high,0
V92_isna,0
V92_clip_low,0
V93_isna,0
V93_clip_low,0
V93,0
V94_isna,0
V94_clip_low,0
V94_clip_high,0
V95_clip_low,0
V95_clip_high,0
V96_clip_low,0
V97_isna,0
V97_clip_low,0
V97_clip_high,0
V98_isna,0
V98_clip_low,0
V98_clip_high,0
V99_isna,0
V99_clip_low,0
V100_isna,0
V100_clip_low,0
V100_clip_high,0
V101_isna,0
V101_clip_low,0
V101_clip_high,0
V102_isna,0
V102_clip_low,0
V102_clip_high,0
V103_isna,0
V103_clip_low,0
V155_clip_high,0
V152_clip_low,0
V156_isna,0
V156_clip_low,0
V152_isna,0
V151_clip_low,0
V157_isna,0
V157_clip_low,0
V157_clip_high,0
V151_isna,0
V158_isna,0
V158_clip_low,0
V150_clip_low,0
V159_isna,0
V159_clip_low,0
V150_isna,0
V149_clip_low,0
V160_isna,0
V160_clip_low,0
V160_clip_high,0
V149_isna,0
V161_isna,0
V161_clip_low,0
V161_clip_high,0
V148_clip_high,0
V162_isna,0
V162_clip_low,0
V148_clip_low,0
V163_isna,0
V163_clip_low,0
V148_isna,0
V164_isna,0
V164_clip_low,0
V164_clip_high,0
V165_isna,0
V165_clip_low,0
V147_clip_high,0
V166_isna,0
V166_clip_low,0
V166_clip_high,0
V147_clip_low,0
V153_clip_low,0
V167_clip_low,0
V167_clip_high,0
V147_isna,0
V168_clip_low,0
V168_clip_high,0
V146_clip_high,0
V169_clip_low,0
V169_clip_high,0
V146_clip_low,0
V170_clip_low,0
V170_clip_high,0
V336_clip_low,0
V171_isna,0
V171_clip_low,0
V171_clip_high,0
V336_clip_high,0
V172_clip_low,0
V172_clip_high,0
V146_isna,0
V173_isna,0
V173_clip_low,0
V174_isna,0
V174_clip_low,0
V174_clip_high,0
V175_isna,0
V175_clip_low,0
V176_isna,0
V176_clip_low,0
V145_clip_high,0
V177_isna,0
V177_clip_low,0
V145_clip_low,0
V178_isna,0
V178_clip_low,0
V178_clip_high,0
V145_isna,0
V179_isna,0
V179_clip_low,0
V179_clip_high,0
V180_isna,0
V180_clip_low,0
V180_clip_high,0
V181_isna,0
V181_clip_low,0
V181_clip_high,0
V153_clip_high,0
V182_isna,0
V182_clip_low,0
V182_clip_high,0
V183_isna,0
V183_clip_low,0
V183_clip_high,0
V144_clip_high,0
V184_isna,0
V184_clip_low,0
V184_clip_high,0
V144_clip_low,0
V185_isna,0
V185_clip_low,0
V185_clip_high,0
V144_isna,0
V186_isna,0
V186_clip_low,0
V187_isna,0
V187_clip_low,0
V188_isna,0
V188_clip_low,0
V188_clip_high,0
V143_clip_low,0
V189_isna,0
V189_clip_low,0
V337_isna,0
V190_isna,0
V190_clip_low,0
V190_clip_high,0
V191_isna,0
V191_clip_low,0
V191_clip_high,0
V191,0
V192_isna,0
V192_clip_low,0
V192_clip_high,0
V143_isna,0
V193_isna,0
V193_clip_low,0
V193_clip_high,0
V194_isna,0
V194_clip_low,0
V194_clip_high,0
V337_clip_low,0
V195_isna,0
V195_clip_low,0
V195_clip_high,0
V337_clip_high,0
V196_isna,0
V196_clip_low,0
V196_clip_high,0
V196,0
V197_isna,0
V197_clip_low,0
V142_clip_high,0
V198_isna,0
V198_clip_low,0
V198_clip_high,0
V338_isna,0
V199_isna,0
V199_clip_low,0
V199_clip_high,0
V200_isna,0
V200_clip_low,0
V200_clip_high,0
V338_clip_low,0
V201_isna,0
V201_clip_low,0
V201_clip_high,0
V338_clip_high,0
V202_isna,0
V202_clip_low,0
V202_clip_high,0
V142_clip_low,0
V203_isna,0
V203_clip_low,0
V203_clip_high,0
V142_isna,0
V204_isna,0
V204_clip_low,0
V204_clip_high,0
V141,0
V205_isna,0
V205_clip_low,0
V205_clip_high,0
V332_clip_low,0
V206_isna,0
V206_clip_low,0
V332_clip_high,0
V141_clip_low,0
V207_isna,0
V207_clip_low,0
V207_clip_high,0
V141_isna,0
V208_isna,0
V208_clip_low,0
V208_clip_high,0
V140_clip_high,0
V209_isna,0
V209_clip_low,0
V209_clip_high,0
V140_clip_low,0
V210_isna,0
V210_clip_low,0
V210_clip_high,0
V140_isna,0
V211_isna,0
V211_clip_low,0
V211_clip_high,0
V139_clip_low,0
V212_isna,0
V212_clip_low,0
V333_isna,0
V333_clip_low,0
V213_isna,0
V213_clip_low,0
V213_clip_high,0
V138_clip_high,0
V214_isna,0
V214_clip_low,0
V214_clip_high,0
V138_clip_low,0
V215_isna,0
V215_clip_low,0
V215_clip_high,0
V137_clip_high,0
V216_isna,0
V216_clip_low,0
V216_clip_high,0
V137_clip_low,0
V137_isna,0
V217_clip_low,0
V217_clip_high,0
V333_clip_high,0
V136_clip_low,0
V218_clip_low,0
V218_clip_high,0
V136_isna,0
V334_isna,0
V219_clip_low,0
V219_clip_high,0
V135_clip_low,0
V135_isna,0
V220_clip_low,0
V334_clip_low,0
V334_clip_high,0
V335_isna,0
V221_clip_low,0
V221_clip_high,0
V134_clip_low,0
V222_isna,0
V222_clip_low,0
V222_clip_high,0
V339_isna,0
V223_isna,0
V223_clip_low,0
V335_clip_low,0
V154_isna,0
V224_isna,0
V224_clip_low,0
V134_isna,0
V335_clip_high,0
V225_isna,0
V225_clip_low,0
V225_clip_high,0
V133_clip_low,0
V226_isna,0
V226_clip_low,0
V226_clip_high,0
V133_isna,0
V227_isna,0
V227_clip_low,0
V198,0
V132_clip_low,0
V228_isna,0
V228_clip_low,0
V228_clip_high,0
V132_isna,0
V229_isna,0
V229_clip_low,0
V229_clip_high,0
V131_clip_high,0
V230_isna,0
V230_clip_low,0
V230_clip_high,0
V194,0
V231_isna,0
V231_clip_low,0
V231_clip_high,0
V131_clip_low,0
V232_isna,0
V232_clip_low,0
V232_clip_high,0
V131_isna,0
V233_isna,0
V233_clip_low,0
V233_clip_high,0
V130_clip_high,0
V234_isna,0
V234_clip_low,0
C12_clip_low,0
V130_clip_low,0
V235_isna,0
V235_clip_low,0
V235_clip_high,0
V154_clip_low,0
V236_isna,0
V236_clip_low,0
V236_clip_high,0
C13_clip_low,0
V237_isna,0
V237_clip_low,0
V237_clip_high,0
V130_isna,0
V238_isna,0
V238_clip_low,0
V238_clip_high,0
C14_clip_low,0
V239_isna,0
V239_clip_low,0
V239_clip_high,0
V129_clip_low,0
V240_isna,0
V240_clip_low,0
V240_clip_high,0
V240,0
V241_isna,0
V241_clip_low,0
V241_clip_high,0
V241,0
